"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-01","0.00","71","82","60"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-02","0.00","68","81",
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-03","0.00","67","83",
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-04","0.00","69","83","53"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-05","0.00","69","83","55"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-06","0.00","69","83","54"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-07","0.00","68","82","53"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-08","0.00","70","83","53"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-09","0.00","69","85","58"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-10","0.00","71","85","56"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-11","0.00","73","86","56"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-12","0.00","75","86","61"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-13","0.00","74","90","64"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-14",,"78","90","64"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-15",,"76","91",
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-16",,"76","88","66"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-17",,"76",,
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-18",,"74","90","61"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-19",,"78","89","63"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-20",,"78","91","60"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-21",,"78","95","60"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-22",,"81","94","66"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-23",,"76","91","62"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-24",,"75","87","60"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-25",,"76","86","60"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-26",,"75","85",
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-27",,"72","85","64"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-28",,"75","87",
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-29",,"75","87","61"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-30",,"76","89","60"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-01-31",,"77","89","56"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-02-01",,"75",,"62"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-02-02",,"76","90","63"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-02-03",,"78","91","63"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-02-04",,"82","91","67"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-02-05",,"80","93","67"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-02-06",,"75","90",
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-02-07",,"76","91","60"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-02-08",,"78","91","70"
"IN001080500","BEGUMPET OBSERVATORY, IN","2000-02-09",,"79","90","70"
